Site,Participant_ID,RowNumber,session_id,age,backcount1,backcount10,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,ethnicity,gender,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,kposition,kratio,lposition,lratio,major,mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nposition,nratio,pate_01,pate_02,pate_03,pate_04,pate_05,rposition,rratio,sarcasm,selfesteem_01,stress_01,stress_02,stress_03,stress_04,tempest1,tempest2,tempest3,tempfollowup1,tempfollowup2,tempfollowup3,vposition,vratio,year,Station,Date.x,Experimenter,Temperatureinlab,OrderofTasks,ClipboardWeight,IIResponse,SRCondition,SRMeetingResponse,SRConfidenceResponse,StartDate.x,EndDate,NumberofDays,Pool2a,Pool2b,Pool2c,Pool2d,Pool3,Pool4,Pool5a,Pool6,Pool7b,Pool7c,Pool7d,Pool8,Pool9,Pool10,Pool11,Pool12,Pool13,Pool14,Pool15,Pool16a,Pool16b,Pool17,Pool18,Pool19a,Pool19b,ClipBoardMaterial,Persistence,anagrams_order,attention_order,availinstruct_order,availk_order,availl_order,availn_order,availr_order,availv_order,bigfive_order,debrief_order,demographics_order,elmques_order,filler1_order,filler2_order,galinskyvignette_order,inlab_order,intrinsic_order,mcfiller_order,moninvignette_order,mood_order,nfc_order,participantid_order,participation_order,selfesteem_order,startpage_order,stress_order,stroop_order,stroopinstructions_order,stroopinstructionstest_order,stroopprac_order,tempestimate_order,tempfollowup_order,welcome_order,DateComputer,TimeComputer,MonthComputer,DayComputer,YearComputer,DaysSinceMonthComputer,DaysSinceAugComputer,DaysSinceMonthLab,DaysSinceAugLab,DaysSinceMonthStart,DaysSinceAugStart,DaysInComp,DaysInLab,AttentionCheck,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Intrinsic,Mood,NFC,ReportedAttention,ReportedEffort,SelfEsteem,Stress,PowerCond,CredCond,Genderfactor,SubDistCond,K1st,L1st,N1st,R1st,V1st,AvailFirst,AvailSign,TempCond4,TempCond,TargetGender,ArgumentQuality,NFCcenter,ELMCond,CBReject
AshlandUniversity,20,201,7397218,19,357,330,354,351,348,345,342,339,336,333,3,5,4,5,5,5,5,2,6,4,7,7,8,7,8,6,2,2,1,1,3,2,3,3,3,2,3,3,2,2,2,4,1,5,2,8,nursing,-1,-1,1,0,1,4,4,2,4,3,2,3,2,2,10,4,4,1,1,2,1,10,5,5,3,4,3,3,78,6,3,7,7,6,2,5,1,1,9/4/2014,ERS,74,SR-II,20,6,A,Friday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,240.000002,17,27,11,13,14,12,16,15,31,36,35,3,20,21,22,18,32,5,6,30,34,37,29,33,0,28,10,7,9,8,25,24,1,9/4/2014,13:38,9,4,14,31,35,31,35,0,25,0.108695652,0.108695652,Pass,4.5,5,3,4,3.5,2.266666667,4,2.666666667,4,4,5,2.75,HighPower,NoCredentials,Male,BestGrade,1,0,0,1,0,2,-,CommunalMale,Communal,MaleTarget,7.4,-0.515873016,1,0
AshlandUniversity,21,205,7397377,20,357,330,354,351,348,345,342,339,336,333,6,5,5,2,5,3,6,3,4,2,7,8,7,6,6,Asian,1,2,3,3,3,2,3,2,3,3,2,2,3,3,2,3,1,3,1,2,Nursing,0,-1,2,0,2,2,2,3,2,4,3,3,4,1,4,3,4,1,4,1,1,4,3,4,2,4,4,2,45,6,3,6,6,6,1,2,2,1,9/4/2014,ERS,75,II-SR,10,6,B,Monday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,221.0000026,19,27,2,6,3,4,7,5,31,36,35,25,9,10,11,20,34,13,14,28,29,37,30,33,0,32,18,15,17,16,23,22,1,9/4/2014,14:27,9,4,14,31,35,31,35,0,25,0.108695652,0.108695652,Fail,5.5,5,5.5,4.5,3,2.6,6,2.833333333,3,4,4,2,LowPower,NoCredentials,Female,BestGrade,1,1,1,1,1,5,+,AgenticMale,Agentic,MaleTarget,6.8,-0.349206349,-1,1
AshlandUniversity,22,209,7397497,18,357,330,354,351,348,245,342,339,336,333,7,3,7,3,4,1,6,3,3,2,6,3,1,4,5,6,1,3,3,3,4,2,2,2,3,4,2,3,1,3,3,4,2,15,1,8,Early Childhood Education,1,2,2,0,1,5,5,3,2,4,3,4,4,2,11,4,5,1,1,2,1,8,5,5,3,3,4,4,70,4,2,6,6,4,2,12,1,1,9/4/2014,ERS,75,II-SR,20,7,B,Friday,4,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,155.0000017,2,33,14,15,17,19,18,16,30,36,35,8,11,12,13,23,31,21,22,32,34,37,28,29,0,27,6,3,5,4,26,25,1,9/4/2014,15:01,9,4,14,31,35,31,35,0,25,0.108695652,0.108695652,Pass,5,6,7,5.5,4,2.933333333,3,3,4,5,5,3,,Credentials,Female,BestGrade,0,1,0,1,0,2,-,AgenticFemale,Agentic,FemaleTarget,3.8,-0.182539683,-1,0
AshlandUniversity,23,214,7399330,19,,330,354,351,348,345,342,339,336,333,4,3,6,4,7,2,7,3,7,4,6,6,5,6,5,6,1,2,1,1,4,2,2,2,3,2,3,3,1,3,3,3,2,20,2,25,Intervention Specialist K-12,0,2,2,0,1,2,2,3,2,4,3,2,2,2,20,4,4,1,1,2,2,15,5,4,2,4,4,3,65,6,4,6,6,5,1,,1,1,9/5/2014,ANK,75,SR-II,10,6,C,Friday,3,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,67.99999641,26,32,16,21,18,17,19,20,29,36,35,6,23,24,25,14,31,12,13,34,33,37,30,27,0,28,10,7,9,8,4,3,1,9/5/2014,12:22,9,5,14,31,36,31,36,0,25,0.119565217,0.119565217,Pass,5.5,5.5,5,6,2.5,2.466666667,6,3,4,4,4,2.25,HighPower,Credentials,Female,BestGrade,0,0,0,0,1,1,-,AgenticMale,Agentic,MaleTarget,5.6,-0.182539683,-1,0
AshlandUniversity,24,217,7399569,18,357,330,354,351,348,345,342,339,336,333,4,1,6,1,7,5,6,1,7,4,7,6,7,8,6,6,1,1,1,1,3,3,2,4,2,1,4,3,1,3,2,4,2,2,2,20,Nursing,0,2,1,0,1,1,1,2,3,5,2,1,3,2,30,3,5,1,1,3,1,1,6,5,2,5,4,2,72,4,4,7,7,6,2,3,1,1,9/5/2014,ANK,75,SR-II,20,7,C,Friday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,212.0000087,21,29,5,6,9,10,7,8,34,36,35,16,24,25,26,22,32,3,4,33,28,37,31,27,0,30,20,17,19,18,14,13,1,9/5/2014,14:26,9,5,14,31,36,31,36,0,25,0.119565217,0.119565217,Pass,5.5,6.5,3.5,6.5,1,2.2,7,2,3,5,5,1.75,HighPower,Credentials,Female,BestGrade,0,0,0,1,0,1,-,AgenticFemale,Agentic,FemaleTarget,6.8,-1.182539683,-1,0
AshlandUniversity,25,2861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9/8/2014,ANK,71,II-SR,10,4,A,Friday,4,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,39,0,25,,0.152173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AshlandUniversity,26,2863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9/8/2014,ANK,71,II-SR,20,6,A,Friday,4,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,39,0,25,,0.152173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AshlandUniversity,27,260,7407138,20,357,330,354,351,348,345,342,339,336,333,7,5,6,6,6,2,6,1,4,4,6,6,5,7,5,6,1,2,2,1,3,2,2,2,3,3,3,4,2,3,1,3,1,0,2,2,Biolgy,1,2,1,0,1,3,2,2,3,4,3,3,2,2,2,5,4,1,1,1,1,3,5,5,4,3,3,4,68,7,3,7,6,4,1,2,2,1,9/9/2014,ERS,71,SR-II,10,7,B,Monday,4,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,240.000002,10,33,21,23,26,25,22,24,28,36,35,12,3,4,5,6,27,14,15,31,29,37,32,34,0,30,19,16,18,17,9,8,1,9/9/2014,13:34,9,9,14,31,40,31,40,0,25,0.163043478,0.163043478,Pass,5,6.5,6.5,4.5,5,2.533333333,5.5,2.833333333,5,4,5,3.5,HighPower,NoCredentials,Female,WorstGrade,1,0,0,1,1,3,+,AgenticMale,Agentic,MaleTarget,5.8,-0.349206349,-1,0
AshlandUniversity,28,262,7407324,21,357,330,354,351,348,345,342,339,336,333,6,6,6,5,6,5,6,2,4,4,6,5,4,4,4,,1,3,3,2,3,3,4,3,3,2,3,2,1,3,1,3,1,5,1,10,,0,2,1,0,2,2,2,3,2,3,2,2,2,2,20,3,3,1,1,2,2,30,5,5,4,4,4,4,74,6,3,6,7,6,1,2,,1,9/9/2014,ERS,72,SR-II,20,7,B,Monday,3,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,138.9999998,2,31,3,6,8,7,4,5,28,36,35,21,11,12,13,9,32,18,19,34,29,37,27,33,0,30,25,22,24,23,16,15,1,9/9/2014,14:05,9,9,14,31,40,31,40,0,25,0.163043478,0.163043478,Pass,5,6,4.5,4,4.5,2.333333333,6,3,3,3,5,3,HighPower,Credentials,Female,BestGrade,1,1,0,0,1,3,+,CommunalFemale,Communal,FemaleTarget,4.6,-0.182539683,1,0
AshlandUniversity,29,269,7407467,18,357,330,354,351,348,345,342,339,336,333,5,5,7,4,5,6,7,1,7,1,9,7,7,4,7,6,1,1,1,1,3,2,3,3,3,3,4,4,4,4,4,4,1,10,2,12,Psychology,0,3,1,0,1,4,4,4,4,4,2,2,2,,10,4,4,1,1,2,2,12,5,5,3,3,3,3,70,6,2,7,7,5,1,10,1,1,9/9/2014,ERS,72,II-SR,10,7,C,Monday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,92.00000768,20,31,2,4,6,3,7,5,29,36,35,19,15,16,17,26,33,9,10,28,32,37,27,34,0,30,24,21,23,22,13,12,1,9/9/2014,14:45,9,9,14,31,40,31,40,0,25,0.163043478,0.163043478,Pass,6,7,3.5,5,2.5,2.8,4,2.666666667,4,4,5,3,LowPower,Credentials,Female,BestGrade,1,0,,0,1,,,CommunalFemale,Communal,FemaleTarget,6.8,-0.515873016,-1,0
AshlandUniversity,30,284,7408019,18,357,330,354,351,348,345,342,339,336,333,6,3,7,2,6,5,6,2,7,2,8,8,9,9,9,6,2,2,2,2,3,3,3,3,3,3,3,3,2,3,1,3,2,8,1,2,Integrated Social Studies,0,2,2,1,1,2,2,2,3,2,2,3,4,2,5,3,3,1,1,2,2,9,5,6,2,5,4,2,72,6,3,6,6,4,1,2,1,1,9/9/2014,ANK,72,II-SR,20,7,C,Friday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,144.9999962,11,29,2,5,7,3,6,4,31,36,35,19,21,22,23,12,32,25,26,30,34,37,28,33,0,27,16,13,15,14,10,9,1,9/9/2014,16:59,9,9,14,31,40,31,40,0,25,0.163043478,0.163043478,Pass,6,6.5,4.5,5.5,1.5,2.466666667,6,2.666666667,3,3,6,1.75,HighPower,NoCredentials,Male,WorstGrade,0,1,0,0,1,2,-,AgenticFemale,Agentic,FemaleTarget,8.6,-0.515873016,1,0
AshlandUniversity,31,2986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9/9/2014,ANK,72,SR-II,10,5,A,Friday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,40,0,25,,0.163043478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AshlandUniversity,32,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9/9/2014,ANK,72,SR-II,20,5,A,Friday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,40,0,25,,0.163043478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
AshlandUniversity,33,334,7413094,18,357,330,354,351,348,345,342,339,336,333,6,2,7,5,7,5,6,3,5,2,9,9,8,7,8,6,1,4,4,3,4,4,2,2,3,3,3,3,3,3,4,4,1,5,2,30,Athletic Training,0,2,1,0,1,2,2,5,1,3,3,3,2,2,15,5,4,1,1,3,2,15,4,6,2,4,4,2,60,5,,7,7,7,2,8,2,1,9/11/2014,ERS,70,II-SR,10,6,B,Friday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,74.00000158,20,28,2,5,3,4,7,6,34,36,35,23,17,18,19,8,31,25,26,27,29,37,30,33,0,32,15,12,14,13,11,10,1,9/11/2014,13:28,9,11,14,31,42,31,42,0,25,0.184782609,0.184782609,Fail,6.5,6,4.5,6,4,3.4,6,3.833333333,5,4,6,2,HighPower,NoCredentials,Female,WorstGrade,1,0,0,0,0,1,-,AgenticFemale,Agentic,FemaleTarget,8.2,0.650793651,-1,0
AshlandUniversity,34,336,7413208,19,357,328,354,351,348,345,341,338,335,331,5,3,6,5,5,4,5,1,4,4,7,6,5,6,6,6,1,2,3,2,2,2,3,3,3,3,4,3,3,3,2,3,2,2,2,6,Psychology,0,1,2,0,3,2,2,3,4,2,2,4,3,1,3,3,5,1,1,4,2,5,2,4,4,4,2,3,75 degrees,4,4,7,6,5,1,5,1,1,9/11/2014,ERS,71,II-SR,20,7,B,Monday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,206.0000035,10,33,15,17,20,18,19,16,30,36,35,22,4,5,6,2,34,8,9,31,32,37,29,27,0,28,26,23,25,24,13,12,1,9/11/2014,14:14,9,11,14,31,42,31,42,0,25,0.184782609,0.184782609,Pass,4.5,6.5,4.5,5,4.5,2.6,6,3,3,5,4,3.25,LowPower,Credentials,Female,BestGrade,0,0,1,0,1,2,-,CommunalFemale,Communal,FemaleTarget,6,-0.182539683,-1,0
