Features,RandomTrees,SVM,,,RandomTrees with prediction,,Features,RandomTrees_updated,SVM_updated,RandomTrees with prediction_updated,Ridge,Lasso
pate_01,0.997912317,0.893528184,,,0.997912317,,pate_01,0.898121086,0.804175365,0.898121086,1.36E+149,2.16E+159
pate_02,0.995824635,0.924843424,,,0.995824635,,pate_02,0.896242171,0.832359081,0.896242171,1.52E+150,4.13E+159
pate_03,0.887265136,0.891440501,,,0.878914405,,pate_03,0.798538622,0.802296451,0.791022965,4.48E+157,915742.5806
pate_04,0.791231733,0.830897704,,,0.810020877,,pate_04,0.791231733,0.747807933,0.729018789,6.54E+157,66480454.54
pate_05,0.334029228,0.375782881,,,0.331941545,,pate_05,0.334029228,0.375782881,0.331941545,1.73E+159,246108489.6
rposition,0.918580376,0.954070981,,,0.918580376,,rposition,0.826722338,0.858663883,0.826722338,1.09E+158,230734341.4
rratio,1,1,,,1,,rratio,0.9,0.9,0.9,5.75E+160,1.53E+161
sarcasm,0.139874739,0.317327766,,,0.152400835,,sarcasm,0.139874739,0.317327766,0.152400835,1.96E+160,1.59E+160
selfesteem_01,1,0.498956159,,,1,,selfesteem_01,0.9,0.498956159,0.9,1.11E+148,21664074.41
stress_01,0.532359081,0.528183716,,,0.519832985,,stress_01,0.532359081,0.528183716,0.519832985,5.25E+158,2.06E+159
stress_02,0.526096033,0.507306889,,,0.530271399,,stress_02,0.526096033,0.507306889,0.530271399,1.91E+152,2.89E+157
stress_03,0.482254697,0.528183716,,,0.475991649,,stress_03,0.482254697,0.528183716,0.475991649,2.45E+157,8.00E+158
stress_04,0.661795407,0.411273486,,,0.668058455,,stress_04,0.661795407,0.411273486,0.668058455,3.31E+158,1.41E+160
tempest2,0.271398747,0.363256785,,,0.263048017,,tempest2,0.271398747,0.363256785,0.263048017,2.17E+158,3.35E+159
tempest3,0.317327766,0.354906054,,,0.319415449,,tempest3,0.317327766,0.354906054,0.319415449,4.44E+159,1.43E+159
tempfollowup1,0.348643006,0.576200418,,,0.352818372,,tempfollowup1,0.348643006,0.576200418,0.352818372,8.49E+157,9.68E+159
tempfollowup2,0.329853862,0.540709812,,,0.315240084,,tempfollowup2,0.329853862,0.540709812,0.315240084,1.27E+159,2.36E+160
tempfollowup3,0.290187891,0.394572025,,,0.286012526,,tempfollowup3,0.290187891,0.394572025,0.286012526,2.90E+159,3.82E+159
vposition,0.929018789,0.966597077,,,0.920668058,,vposition,0.83611691,0.86993737,0.828601253,4.75E+158,229876715.3
vratio,0.127348643,0.10555586,,,0.146137787,,vratio,0.127348643,0.10555586,0.146137787,1.70E+160,6.94E+157
year,0.680584551,0.624217119,,,0.66388309,,year,0.680584551,0.624217119,0.66388309,3.05E+159,621477120.5
Temperatureinlab,1,1,,,1,,Temperatureinlab,0.9,0.9,0.9,2.91E+162,1.75E+162
ClipboardWeight,0.08559499,0.540709812,,,0.08559499,,ClipboardWeight,0.08559499,0.540709812,0.08559499,4.15E+161,3.47E+161
IIResponse,0.340292276,0.553235908,,,0.329853862,,IIResponse,0.340292276,0.553235908,0.329853862,1.72E+159,1.62E+158
SRConfidenceResponse,0.296450939,0.296450939,,,0.292275574,,SRConfidenceResponse,0.296450939,0.296450939,0.292275574,2.03E+158,6.36333E+11
NumberofDays,1,0.985386221,,,1,,NumberofDays,0.9,0.886847599,0.9,1.20E+154,2.40969E+14
Pool2a,1,0.997912317,,,1,,Pool2a,0.9,0.898121086,0.9,7.03E+150,20826218.55
Pool2b,1,0.991649269,,,1,,Pool2b,0.9,0.892484342,0.9,3.08E+152,183997466.7
Pool2c,1,0.995824635,,,1,,Pool2c,0.9,0.896242171,0.9,7.08E+150,2143531.071
Pool2d,1,0.997912317,,,1,,Pool2d,0.9,0.898121086,0.9,1.98E+149,1478717.222
Pool3,1,0.989561587,,,1,,Pool3,0.9,0.890605428,0.9,6.83E+150,2.37E+159
Pool4,1,1,,,1,,Pool4,0.9,0.9,0.9,5.02E+150,71156.24261
Pool5a,1,0.991649269,,,1,,Pool5a,0.9,0.892484342,0.9,6.23E+151,304870.1511
Pool6,1,0.997912317,,,1,,Pool6,0.9,0.898121086,0.9,1.94E+151,31347436.82
Pool7b,0.991649269,0.989561587,,,0.991649269,,Pool7b,0.892484342,0.890605428,0.892484342,3.53E+150,19228423.17
Pool7c,1,0.993736952,,,1,,Pool7c,0.9,0.894363257,0.9,9.57E+151,105136313.9
Pool7d,1,0.997912317,,,1,,Pool7d,0.9,0.898121086,0.9,2.25E+151,234616675.2
Pool8,1,0.989561587,,,1,,Pool8,0.9,0.890605428,0.9,7.75E+151,0.133845584
Pool9,1,0.997912317,,,1,,Pool9,0.9,0.898121086,0.9,9.35E+151,809.7639147
Pool10,1,0.997912317,,,1,,Pool10,0.9,0.898121086,0.9,7.03E+150,20826218.55
Pool11,1,0.985386221,,,1,,Pool11,0.9,0.886847599,0.9,2.43E+152,3.17405E+12
Pool12,1,0.983298539,,,1,,Pool12,0.9,0.884968685,0.9,1.06E+155,5.92E+160
Pool13,1,0.983298539,,,1,,Pool13,0.9,0.884968685,0.9,1.76E+157,4.50E+161
Pool14,1,0.985386221,,,1,,Pool14,0.9,0.886847599,0.9,7.78E+157,4.02E+159
Pool15,1,0.981210856,,,1,,Pool15,0.9,0.88308977,0.9,1.65E+157,1.45E+162
Pool16a,1,0.995824635,,,1,,Pool16a,0.9,0.896242171,0.9,5.37E+151,40395491.06
Pool16b,1,0.997912317,,,1,,Pool16b,0.9,0.898121086,0.9,1.83E+150,6.21E+156
Pool17,1,0.989561587,,,1,,Pool17,0.9,0.890605428,0.9,1.47E+153,2.50E+159
Pool18,1,0.993736952,,,1,,Pool18,0.9,0.894363257,0.9,2.22E+152,4338.559565
Pool19a,1,0.993736952,,,1,,Pool19a,0.9,0.894363257,0.9,7.08E+151,1.95E+157
Pool19b,1,1,,,1,,Pool19b,0.9,0.9,0.9,7.28E+150,135938.0658
Persistence,1,1,,,1,,Persistence,0.9,0.9,0.9,5.21E+163,3.82E+163
anagrams_order,0.033402923,0.118997912,,,0.035490605,,anagrams_order,0.033402923,0.118997912,0.035490605,2.20E+161,3.34E+160
attention_order,0.169102296,0.135699374,,,0.200417537,,attention_order,0.169102296,0.135699374,0.200417537,2.67E+160,12717195647
availinstruct_order,0.693110647,0.321503132,,,0.705636743,,availinstruct_order,0.693110647,0.321503132,0.705636743,8.56E+147,59420529.3
availk_order,0.260960334,0.108559499,,,0.269311065,,availk_order,0.260960334,0.108559499,0.269311065,3.00E+151,1.21E+159
availl_order,0.185803758,0.162839248,,,0.21085595,,availl_order,0.185803758,0.162839248,0.21085595,5.59E+151,60241735.35
availn_order,0.215031315,0.139874739,,,0.217118998,,availn_order,0.215031315,0.139874739,0.217118998,8.03E+151,1.62E+159
availr_order,0.223382046,0.144050104,,,0.225469729,,availr_order,0.223382046,0.144050104,0.225469729,1.40E+150,2.75698E+13
availv_order,0.24217119,0.152400835,,,0.244258873,,availv_order,0.24217119,0.152400835,0.244258873,3.39E+149,3376054137
bigfive_order,0.187891441,0.137787056,,,0.175365344,,bigfive_order,0.187891441,0.137787056,0.175365344,3.03E+158,3.71E+160
debrief_order,0.995824635,0.991649269,,,0.983298539,,debrief_order,0.896242171,0.892484342,0.884968685,9.14E+158,13577950.35
demographics_order,0.987473904,0.993736952,,,0.985386221,,demographics_order,0.888726514,0.894363257,0.886847599,1.36E+158,4818925.778
elmques_order,0.079331942,0.17954071,,,0.066805846,,elmques_order,0.079331942,0.17954071,0.066805846,2.94E+160,8.03E+158
filler1_order,1,0.223382046,,,1,,filler1_order,0.9,0.223382046,0.9,3.07E+148,520832.0734
filler2_order,1,0.223382046,,,1,,filler2_order,0.9,0.223382046,0.9,3.07E+148,520832.0734
galinskyvignette_order,1,0.223382046,,,1,,galinskyvignette_order,0.9,0.223382046,0.9,3.07E+148,520832.0734
inlab_order,0.043841336,0.135699374,,,0.03131524,,inlab_order,0.043841336,0.135699374,0.03131524,4.96E+161,3.36E+161
intrinsic_order,0.150313152,0.154488518,,,0.1565762,,intrinsic_order,0.150313152,0.154488518,0.1565762,4.27E+160,3.87E+157
mcfiller_order,1,0.204592902,,,1,,mcfiller_order,0.9,0.204592902,0.9,7.80E+148,42760221.59
moninvignette_order,1,0.204592902,,,1,,moninvignette_order,0.9,0.204592902,0.9,7.80E+148,42760221.59
mood_order,0.185803758,0.14822547,,,0.185803758,,mood_order,0.185803758,0.14822547,0.185803758,6.60E+158,3.81832E+14
nfc_order,0.133611691,0.141962422,,,0.137787056,,nfc_order,0.133611691,0.141962422,0.137787056,2.66E+159,3.69087E+14
participantid_order,0.918580376,0.970772443,,,0.920668058,,participantid_order,0.826722338,0.873695198,0.828601253,2.67E+161,1.12E+161
participation_order,0.183716075,0.12526096,,,0.171189979,,participation_order,0.183716075,0.12526096,0.171189979,1.87E+160,1.20E+158
selfesteem_order,0.152400835,0.135699374,,,0.158663883,,selfesteem_order,0.152400835,0.135699374,0.158663883,4.82E+160,1.17E+160
startpage_order,1,1,,,1,,startpage_order,0.9,0.9,0.9,0,0
stress_order,0.187891441,0.144050104,,,0.192066806,,stress_order,0.187891441,0.144050104,0.192066806,6.40E+160,4.14E+160
stroop_order,0.995824635,0.277661795,,,0.995824635,,stroop_order,0.896242171,0.277661795,0.896242171,5.52E+147,10871831.47
stroopinstructions_order,0.997912317,0.277661795,,,1,,stroopinstructions_order,0.898121086,0.277661795,0.9,1.72E+149,10298343.79
stroopinstructionstest_order,0.995824635,0.277661795,,,1,,stroopinstructionstest_order,0.896242171,0.277661795,0.9,2.38E+147,10390240.21
stroopprac_order,0.997912317,0.277661795,,,1,,stroopprac_order,0.898121086,0.277661795,0.9,1.72E+149,10298343.81
tempestimate_order,1,0.219206681,,,1,,tempestimate_order,0.9,0.219206681,0.9,9.18E+148,9322189.043
tempfollowup_order,1,0.219206681,,,1,,tempfollowup_order,0.9,0.219206681,0.9,9.18E+148,9322189.043
welcome_order,1,1,,,1,,welcome_order,0.9,0.9,0.9,0,0
MonthComputer,1,0.964509395,,,1,,MonthComputer,0.9,0.868058455,0.9,1.38E+155,14866823.08
DayComputer,0.908141962,0.096033403,,,0.916492693,,DayComputer,0.817327766,0.096033403,0.824843424,1.71E+150,42962071.8
YearComputer,1,1,,,1,,YearComputer,0.9,0.9,0.9,0,0
DaysSinceMonthComputer,0.993736952,0.964509395,,,0.997912317,,DaysSinceMonthComputer,0.894363257,0.868058455,0.898121086,1.27E+151,3.19E+156
DaysSinceAugComputer,0.912317328,0.141962422,,,0.920668058,,DaysSinceAugComputer,0.821085595,0.141962422,0.828601253,5.07E+150,6.33E+157
DaysSinceMonthLab,1,0.972860125,,,1,,DaysSinceMonthLab,0.9,0.875574113,0.9,5.00E+159,645663691
DaysSinceAugLab,0.929018789,0.227557411,,,0.918580376,,DaysSinceAugLab,0.83611691,0.227557411,0.826722338,3.57E+159,5.07E+158
DaysSinceMonthStart,1,0.993736952,,,1,,DaysSinceMonthStart,0.9,0.894363257,0.9,2.55E+153,1.65291E+13
DaysSinceAugStart,1,0.989561587,,,1,,DaysSinceAugStart,0.9,0.890605428,0.9,2.28E+153,7260022312
DaysInComp,0.993736952,0.993736952,,,0.993736952,,DaysInComp,0.894363257,0.894363257,0.894363257,1.16E+156,94280.5002
DaysInLab,0.997912317,0.997912317,,,0.997912317,,DaysInLab,0.898121086,0.898121086,0.898121086,5.20E+156,163953.4713
Openness,0.962421712,0.962421712,,,0.962421712,,Openness,0.866179541,0.866179541,0.866179541,7.15E+149,2.43E+159
Conscientiousness,0.960334029,0.960334029,,,0.960334029,,Conscientiousness,0.864300626,0.864300626,0.864300626,1.03E+150,6.95E+157
Extraversion,0.947807933,0.947807933,,,0.947807933,,Extraversion,0.85302714,0.85302714,0.85302714,3.52E+155,5.90E+158
Agreeableness,0.960334029,0.960334029,,,0.960334029,,Agreeableness,0.864300626,0.864300626,0.864300626,1.04E+149,489807749.1
Neuroticism,0.91440501,0.91440501,,,0.91440501,,Neuroticism,0.822964509,0.822964509,0.822964509,8.36E+149,1.84E+158
Intrinsic,0.653444676,0.653444676,,,0.653444676,,Intrinsic,0.653444676,0.653444676,0.653444676,9.17E+157,64209231.34
Mood,0.954070981,0.954070981,,,0.954070981,,Mood,0.858663883,0.858663883,0.858663883,4.83E+158,972914321.9
NFC,0.628392484,0.628392484,,,0.628392484,,NFC,0.628392484,0.628392484,0.628392484,1.11E+157,2.43E+157
ReportedAttention,0.997912317,0.893528184,,,0.985386221,,ReportedAttention,0.898121086,0.804175365,0.886847599,1.36E+149,2.16E+159
ReportedEffort,0.995824635,0.924843424,,,0.987473904,,ReportedEffort,0.896242171,0.832359081,0.888726514,1.52E+150,4.13E+159
SelfEsteem,1,0.498956159,,,0.966597077,,SelfEsteem,0.9,0.498956159,0.86993737,1.11E+148,21664074.41
Stress,0.699373695,0.699373695,,,0.699373695,,Stress,0.699373695,0.699373695,0.699373695,6.18E+157,2.52E+159
K1st,1,0.935281837,,,0.96868476,,K1st,0.9,0.841753653,0.871816284,7.77E+154,170490195.2
L1st,1,0.943632568,,,0.972860125,,L1st,0.9,0.849269311,0.875574113,5.44E+158,201427563
N1st,1,0.941544885,,,0.979123173,,N1st,0.9,0.847390397,0.881210856,1.14E+158,203680471
R1st,1,0.931106472,,,0.979123173,,R1st,0.9,0.837995825,0.881210856,2.32E+157,285661514.3
V1st,1,0.941544885,,,0.970772443,,V1st,0.9,0.847390397,0.873695198,4.27E+158,255903953
AvailFirst,0.776617954,0.780793319,,,0.764091858,,AvailFirst,0.776617954,0.780793319,0.764091858,1.83E+158,3.35E+157
ArgumentQuality,0.511482255,0.511482255,,,0.511482255,,ArgumentQuality,0.511482255,0.511482255,0.511482255,4.43E+158,1.13E+159
NFCcenter,0.924843424,0.924843424,,,0.924843424,,NFCcenter,0.832359081,0.832359081,0.832359081,2.68E+156,1317284341
ELMCond,0,0.572025052,,,0,,ELMCond,0,0.572025052,0,2.12E+160,7.97E+159
CBReject,0.891440501,0.891440501,,,0.891440501,,CBReject,0.802296451,0.802296451,0.802296451,7.08E+157,11627661.86
